fecha,medio,titular,zona_portada,seccion,url
2025-07-17,QueDigital,"Con foco en la obsolescencia, Bienalsur inauguró una nueva muestra en el Museo MAR",cultura,cultura,https://quedigital.com.ar/cultura/con-foco-en-la-obsolescencia-bienalsur-inauguro-una-nueva-muestra-en-el-museo-mar/
2025-07-17,QueDigital,Los Decadentes celebran tres décadas de su “vida loca” en Mar del Plata,cultura,cultura,https://quedigital.com.ar/cultura/los-decadentes-celebran-tres-decadas-de-su-vida-loca-en-mar-del-plata/
2025-07-17,QueDigital,Una variada grilla de artistas marplatenses en la “Ruta Cultural Cooperativa”,cultura,cultura,https://quedigital.com.ar/cultura/una-variada-grilla-de-artistas-marplatenses-en-la-ruta-cultural-cooperativa/
2025-07-17,0223,"""Nos cagó la vida, nos íbamos a volver hoy"": así fue el choque del Alfa Romeo a una camioneta de una pareja de turistas",apertura_principal,apertura,https://www.0223.com.ar/nota/2025-7-17-13-31-0-nos-cago-la-vida-nos-ibamos-a-volver-hoy-asi-fue-el-choque-del-alfa-romeo-a-una-camioneta-de-una-pareja-de-turistas
2025-07-17,0223,"""Nos cagó la vida, nos íbamos a volver hoy"": así fue el choque del Alfa Romeo a una camioneta de una pareja de turistas",apertura_secundaria_1,apertura_secundaria,https://www.0223.com.ar/nota/2025-7-17-13-31-0-nos-cago-la-vida-nos-ibamos-a-volver-hoy-asi-fue-el-choque-del-alfa-romeo-a-una-camioneta-de-una-pareja-de-turistas
2025-07-17,0223,"Pura maldad: entraron a robar a una escuela y como no encontraron nada, tiraron comida al piso",apertura_secundaria_2,apertura_secundaria,https://www.0223.com.ar/nota/2025-7-17-13-7-0-pura-maldad-entraron-a-robar-a-una-escuela-y-como-no-encontraron-nada-tiraron-comida-al-piso
2025-07-17,0223,Adjudican la concesión de otras dos playas públicas equipadas por 10 años: se implementará un nuevo modelo de gestión,apertura_secundaria_3,apertura_secundaria,https://www.0223.com.ar/nota/2025-7-17-11-27-0-adjudican-la-concesion-de-otras-dos-playas-publicas-equipadas-por-10-anos-se-implementara-un-nuevo-modelo-de-gestion
2025-07-17,0223,Tremendo: un Alfa Romeo le chocó la camioneta estacionada y la estampó contra un poste,bloque_notas_1,Choque,https://www.0223.com.ar/nota/2025-7-17-9-14-0-tremendo-un-alfa-romeo-le-choco-la-camioneta-estacionada-y-la-estampo-contra-un-poste
2025-07-17,0223,Los cuatro menores que ataron el cable que mató al motociclista tienen entre 13 y 15 años,bloque_notas_2,Muerte del motociclista,https://www.0223.com.ar/nota/2025-7-17-9-13-0-los-cuatro-menores-que-ataron-el-cable-que-mato-al-motociclista-tienen-entre-13-y-15-anos
2025-07-17,0223,"""Cacho"" Fangio, entre el recuerdo a 30 años de la muerte de su padre y el presente de Colapinto: ""Está en un equipo mediocre""",bloque_notas_3,Fórmula 1,https://www.0223.com.ar/nota/2025-7-17-15-42-0-cacho-fangio-entre-el-recuerdo-a-30-anos-de-la-muerte-de-su-padre-y-el-presente-de-colapinto-esta-en-un-equipo-mediocre
2025-07-17,0223,Tragedia en la ruta 88: el camionero ratificó su declaración y no respondió preguntas porque “no estaba de ánimo”,bloque_notas_4,Judiciales,https://www.0223.com.ar/nota/2025-7-17-12-48-0-tragedia-en-la-ruta-88-el-camionero-ratifico-su-declaracion-y-no-respondio-preguntas-porque-no-estaba-de-animo
2025-07-17,0223,Trabajadores del Materno y el Higa se suman al paro y realizan un abrazo simbólico al Inareps,bloque_notas_5,Salud,https://www.0223.com.ar/nota/2025-7-17-11-41-0-trabajadores-del-materno-y-el-higa-se-suman-al-paro-y-realizan-un-abrazo-simbolico-al-inareps
2025-07-17,0223,Otro revés judicial para Milei: suspenden la disolución de Vialidad Nacional,bloque_notas_6,Motosierra de Milei,https://www.0223.com.ar/nota/2025-7-17-14-1-0-otro-reves-judicial-para-milei-suspenden-la-disolucion-de-vialidad-nacional
2025-07-17,0223,Confirmado: vuelven los visitantes a las canchas del fútbol argentino,bloque_notas_7,AFA,https://www.0223.com.ar/nota/2025-7-17-13-17-0-confirmado-vuelven-los-visitantes-a-las-canchas-del-futbol-argentino
2025-07-17,0223,"Llevó a dormir al hotel a dos mujeres, pero cuando se despertó no estaban las chicas ni su camioneta",bloque_notas_8,Robo,https://www.0223.com.ar/nota/2025-7-17-8-0-0-llevo-a-dormir-al-hotel-a-dos-mujeres-pero-cuando-se-desperto-no-estaban-las-chicas-ni-su-camioneta
2025-07-17,0223,"“Queremos un espacio que salga de la discusión binaria”: Somos Buenos Aires, el frente que busca emerger ante la nueva polarización",mar_del_plata_1,Elecciones 2025,https://www.0223.com.ar/nota/2025-7-17-13-0-0-queremos-un-espacio-que-salga-de-la-discusion-binaria-somos-buenos-aires-el-frente-que-busca-emerger-ante-la-nueva-polarizacion
2025-07-17,0223,Cheppi apuntó contra Montenegro: “La ciudad está abandonada y ahora la va a abandonar literalmente por un cargo”,mar_del_plata_2,Juan Manuel Cheppi,https://www.0223.com.ar/nota/2025-7-17-12-24-0-cheppi-apunto-contra-montenegro-la-ciudad-esta-abandonada-y-ahora-la-va-a-abandonar-literalmente-por-un-cargo
2025-07-17,0223,Mar del Plata tendrá una elección histórica con más de 150 urnas para garantizar la participación democrática,mar_del_plata_3,Uthgra,https://www.0223.com.ar/nota/2025-7-17-8-28-0-mar-del-plata-tendra-una-eleccion-historica-con-mas-de-150-urnas-para-garantizar-la-participacion-democratica
2025-07-17,0223,Cambios en Cuenta DNI en julio: hoy tenés un descuento especial en Supermercados,mar_del_plata_4,Cuenta DNI,https://www.0223.com.ar/nota/2025-7-17-7-59-0-cambios-en-cuenta-dni-en-julio-hoy-tenes-un-descuento-especial-en-supermercados
2025-07-17,0223,"Mató a dos menores y está libre: ""Injusticia es poco, se nos ríen en la cara""",argentina_1,Crimen,https://www.0223.com.ar/nota/2025-7-17-16-3-0-mato-a-dos-menores-y-esta-libre-injusticia-es-poco-se-nos-rien-en-la-cara
2025-07-17,0223,"Monos, loros y tortugas entre los más de 200 animales rescatados de una casa en La Plata",argentina_2,Maltrato Animal,https://www.0223.com.ar/nota/2025-7-17-13-19-0-monos-loros-y-tortugas-entre-los-mas-de-200-animales-rescatados-de-una-casa-en-la-plata
2025-07-17,0223,Video: dos perritas evitaron el robo de su casa y el ladrón tuvo que escapar por la medianera,argentina_3,Mascotas,https://www.0223.com.ar/nota/2025-7-17-10-15-0-video-dos-perritas-evitaron-el-robo-de-su-casa-y-el-ladron-tuvo-que-escapar-por-la-medianera
2025-07-17,0223,Nena de 13 años pelea por su vida luego de recibir una puñalada: salvó a su madre del ex que la quiso matar,argentina_4,Violencia de género,https://www.0223.com.ar/nota/2025-7-17-9-58-0-nena-de-13-anos-pelea-por-su-vida-luego-de-recibir-una-punalada-salvo-a-su-madre-del-ex-que-la-quiso-matar
2025-07-17,0223,Choque fatal: dos personas murieron tras un tremendo accidente en medio de la ruta,argentina_5,Choque,https://www.0223.com.ar/nota/2025-7-17-9-32-0-choque-fatal-dos-personas-murieron-tras-un-tremendo-accidente-en-medio-de-la-ruta
2025-07-17,0223,Detuvieron a “Manguera” por el robo de dinero y joyas en una casa a la que ingresó por el ventiluz,seguridad_1,Robo,https://www.0223.com.ar/nota/2025-7-17-11-1-0-detuvieron-a-manguera-por-el-robo-de-dinero-y-joyas-en-una-casa-a-la-que-ingreso-por-el-ventiluz
2025-07-17,0223,Tragedia en la ruta 88: imputan al dueño del camión como partícipe primario de homicidio con dolo eventual,seguridad_2,Tragedia en la Ruta 88,https://www.0223.com.ar/nota/2025-7-16-16-5-0-tragedia-en-la-ruta-88-imputan-al-dueno-del-camion-como-participe-primario-de-homicidio-con-dolo-eventual
2025-07-17,0223,Robó un patrullero y provocó un triple choque: cómo sigue la causa tras el increíble accidente,seguridad_3,Accidente,https://www.0223.com.ar/nota/2025-7-16-12-22-0-robo-un-patrullero-y-provoco-un-triple-choque-como-sigue-la-causa-tras-el-increible-accidente
2025-07-17,0223,"Salió a mostrar una moto para vender, lo chocó otra que hacía “willy” y murió",seguridad_4,Siniestro fatal,https://www.0223.com.ar/nota/2025-7-16-10-4-0-salio-a-mostrar-una-moto-para-vender-lo-choco-otra-que-hacia-willy-y-murio
2025-07-17,0223,Entraron a robar por los techos a la casa de una mujer: un detenido y dos prófugos,seguridad_5,Robo,https://www.0223.com.ar/nota/2025-7-16-9-19-0-entraron-a-robar-por-los-techos-a-la-casa-de-una-mujer-un-detenido-y-dos-profugos
2025-07-17,0223,Les dieron arresto domiciliario a los tres albañiles acusados de violar a una mujer en Miramar,seguridad_6,Abuso sexual,https://www.0223.com.ar/nota/2025-7-16-8-26-0-les-dieron-arresto-domiciliario-a-los-tres-albaniles-acusados-de-violar-a-una-mujer-en-miramar
2025-07-17,0223,"No les salió: la amenazaron con pegarle ""un balazo"", los golpeó con el casco y evitó que le roben la moto",seguridad_7,Video,https://www.0223.com.ar/nota/2025-7-15-20-57-0-no-les-salio-la-amenazaron-con-pegarle-un-balazo-los-golpeo-con-el-casco-y-evito-que-le-roben-la-moto
